store_id,region,test_group,category_id,category_name,week_start_date,period,revenue,units_sold
T1000,South,Control,CAT01,Grocery & Essentials,2026-01-05,Pre,33727.87,1441
T1000,South,Control,CAT01,Grocery & Essentials,2026-01-12,Pre,36155.45,968
T1000,South,Control,CAT01,Grocery & Essentials,2026-01-19,Pre,33717.79,1565
T1000,South,Control,CAT01,Grocery & Essentials,2026-01-26,Pre,36051.6,1379
T1000,South,Control,CAT01,Grocery & Essentials,2026-02-02,Pre,40093.52,1116
T1000,South,Control,CAT01,Grocery & Essentials,2026-02-09,Pre,41132.4,1598
T1000,South,Control,CAT01,Grocery & Essentials,2026-02-16,Pre,35919.35,1923
T1000,South,Control,CAT01,Grocery & Essentials,2026-02-23,Pre,38549.75,1097
T1000,South,Control,CAT01,Grocery & Essentials,2026-03-02,Pre,35165.24,1613
T1000,South,Control,CAT01,Grocery & Essentials,2026-03-09,Pre,38811.6,880
T1000,South,Control,CAT01,Grocery & Essentials,2026-03-16,Pre,43387.02,1004
T1000,South,Control,CAT01,Grocery & Essentials,2026-03-23,Pre,37721.86,1231
T1000,South,Control,CAT01,Grocery & Essentials,2026-03-30,Pre,37045.88,2004
T1000,South,Control,CAT01,Grocery & Essentials,2026-04-06,Post,42065.64,1041
T1000,South,Control,CAT01,Grocery & Essentials,2026-04-13,Post,37155.76,1530
T1000,South,Control,CAT01,Grocery & Essentials,2026-04-20,Post,38641.21,1124
T1000,South,Control,CAT01,Grocery & Essentials,2026-04-27,Post,37779.73,1344
T1000,South,Control,CAT01,Grocery & Essentials,2026-05-04,Post,42479.39,1193
T1000,South,Control,CAT01,Grocery & Essentials,2026-05-11,Post,34665.1,1145
T1000,South,Control,CAT01,Grocery & Essentials,2026-05-18,Post,45589.89,1869
T1000,South,Control,CAT01,Grocery & Essentials,2026-05-25,Post,36766.28,918
T1000,South,Control,CAT01,Grocery & Essentials,2026-06-01,Post,48099.58,2429
T1000,South,Control,CAT01,Grocery & Essentials,2026-06-08,Post,39084.58,1780
T1000,South,Control,CAT01,Grocery & Essentials,2026-06-15,Post,45138.8,1711
T1000,South,Control,CAT01,Grocery & Essentials,2026-06-22,Post,39719.84,926
T1000,South,Control,CAT01,Grocery & Essentials,2026-06-29,Post,41795.65,1627
T1000,South,Control,CAT02,Apparel & Accessories,2026-01-05,Pre,15655.04,741
T1000,South,Control,CAT02,Apparel & Accessories,2026-01-12,Pre,15601.76,800
T1000,South,Control,CAT02,Apparel & Accessories,2026-01-19,Pre,16188.38,832
T1000,South,Control,CAT02,Apparel & Accessories,2026-01-26,Pre,16520.59,454
T1000,South,Control,CAT02,Apparel & Accessories,2026-02-02,Pre,16230.61,610
T1000,South,Control,CAT02,Apparel & Accessories,2026-02-09,Pre,16179.11,388
T1000,South,Control,CAT02,Apparel & Accessories,2026-02-16,Pre,15364.99,801
T1000,South,Control,CAT02,Apparel & Accessories,2026-02-23,Pre,16134.93,652
T1000,South,Control,CAT02,Apparel & Accessories,2026-03-02,Pre,18104.94,619
T1000,South,Control,CAT02,Apparel & Accessories,2026-03-09,Pre,15497.49,551
T1000,South,Control,CAT02,Apparel & Accessories,2026-03-16,Pre,16735.65,806
T1000,South,Control,CAT02,Apparel & Accessories,2026-03-23,Pre,17874.05,921
T1000,South,Control,CAT02,Apparel & Accessories,2026-03-30,Pre,17118.26,827
T1000,South,Control,CAT02,Apparel & Accessories,2026-04-06,Post,17704.13,417
T1000,South,Control,CAT02,Apparel & Accessories,2026-04-13,Post,15390.88,388
T1000,South,Control,CAT02,Apparel & Accessories,2026-04-20,Post,17060.49,482
T1000,South,Control,CAT02,Apparel & Accessories,2026-04-27,Post,16470.58,761
T1000,South,Control,CAT02,Apparel & Accessories,2026-05-04,Post,16579.99,520
T1000,South,Control,CAT02,Apparel & Accessories,2026-05-11,Post,18685.88,612
