store_id,region,store_format,sq_footage,test_group
T1000,South,SuperTarget,94022,Control
T1001,Midwest,Target,138409,Control
T1002,West,Target,89469,Test
T1003,South,SuperTarget,144984,Control
T1004,Northeast,Target,142874,Test
T1005,West,Target,88444,Control
T1006,South,Target,155748,Test
T1007,South,Target,121580,Control
T1008,Northeast,Target,158688,Control
T1009,Midwest,Target,84161,Control
T1010,Midwest,Target,97945,Test
T1011,West,Target,129399,Control
T1012,South,SuperTarget,98822,Test
T1013,West,Target,112986,Test
T1014,Midwest,Target,146059,Control
T1015,Midwest,Target,94452,Test
T1016,South,Target,147770,Control
T1017,Northeast,SuperTarget,90340,Control
T1018,West,Target,97518,Test
T1019,South,SuperTarget,138764,Control
T1020,South,SuperTarget,159348,Test
T1021,Midwest,Target,97059,Control
T1022,West,SuperTarget,109999,Test
T1023,West,Target,172512,Control
T1024,South,Target,178968,Test
T1025,Northeast,Target,138106,Test
T1026,Midwest,SuperTarget,124703,Test
T1027,Northeast,Target,114686,Control
T1028,Northeast,Target,141245,Control
T1029,South,Target,139091,Control
T1030,South,Target,109475,Control
T1031,West,SuperTarget,82280,Control
T1032,Midwest,Target,95149,Control
T1033,Midwest,Target,175855,Test
T1034,Midwest,Target,121815,Control
T1035,Northeast,Target,128230,Control
T1036,Northeast,Target,126710,Test
T1037,Midwest,Target,158273,Test
T1038,Midwest,Target,86495,Control
T1039,South,Small Format,88272,Test
T1040,Midwest,Small Format,107584,Control
T1041,West,SuperTarget,128665,Test
T1042,South,Target,147112,Test
T1043,Midwest,Small Format,129070,Control
T1044,West,SuperTarget,124116,Test
T1045,West,SuperTarget,173782,Test
T1046,Midwest,Target,96101,Control
T1047,Midwest,Target,137172,Control
T1048,South,Target,134224,Test
T1049,Northeast,Small Format,127348,Test
T1050,Northeast,Target,160759,Control
T1051,Northeast,Target,106697,Control
T1052,South,Target,175377,Control
T1053,South,Target,113156,Test
T1054,South,Target,134500,Test
T1055,South,SuperTarget,132067,Test
T1056,Midwest,SuperTarget,164977,Test
T1057,South,SuperTarget,123891,Control
T1058,Northeast,Target,108455,Test
T1059,Northeast,Target,82161,Control
